いる,5,いる,動詞-非自立
う,5,う,助動詞
か,5,か,助詞
が,5,が,助詞
から,5,から,助詞
させる,5,させる,動詞-接尾
せる,5,せる,動詞-接尾
た,5,た,助動詞
たり,5,たり,助詞
だ,5,だ,助動詞
だり,5,だり,助詞
て,5,て,助詞
で,5,で,助詞
で,5,で,助動詞
です,5,です,助動詞
と,5,と,助詞
に,5,に,助詞
の,5,の,助詞
は,5,は,助詞
へ,5,へ,助詞
ます,5,ます,助動詞
まで,5,まで,助詞
も,5,も,助詞
や,5,や,助詞
られる,5,られる,動詞-接尾
を,5,を,助詞
ん,5,ん,名詞-非自立-一般
ん,5,ん,助動詞
さ,5,さ,名詞-接尾
かもしれない,5,かも知れない,3
かもしれません,5,かも知れません,4
かもしれない,5,かも知れない,5
かもしれません,5,かも知れません,6
とか,5,とか,助詞
の,5,の,名詞-非自立-一般
ので,5,ので,助詞-接続助詞
のに,5,のに,助詞-接続助詞
な,5,な,助詞-終助詞
ば,5,ば,助詞-接続助詞
じ,5,時,名詞-接尾-*
じはん,5,時半,名詞-接尾-*
ふん,5,分,名詞-接尾-*
